date,bonds,bonds_global_gov,bonds_global,bonds_em_hc,bonds_em_local,equities_ch,equities_global_dev,equities_em,equities_global_sc,private_equity,infrastructure,ils,gold
30.09.02,0.020489698,0.013809958,0.012214337,-0.01402751,-0.065239063,-0.084565932,-0.135304791,-0.13110529,-0.096693752,-0.157694152,-0.089814439,-0.007858748,0.01855551
31.10.02,0.000766643,-0.004525464,-0.003473872,0.04465077,0.032418459,0.035270576,0.073143847,0.064765656,0.013964434,0.007478386,0.010124493,0.008522381,-0.01836629
30.11.02,0.005519481,-0.001398804,0.000349488,0.026072349,0.03976368,0.02896009,0.056760184,0.070821335,0.059030973,0.108034285,0.017055701,0.009965034,0.008652523
31.12.02,0.018624699,0.015340278,0.015201553,0.024344701,-0.060533532,-0.097836308,-0.124870191,-0.105418758,-0.121653633,-0.081852363,-0.043459505,-0.067888396,0.015108346
31.01.03,0.00315353,0.004532281,0.003927909,0.012413684,0.002660769,-0.044506779,-0.040731412,-0.014108932,-0.027748915,-0.014336511,-0.00753234,-0.005732275,0.046701915
28.02.03,0.005371248,0.008414144,0.009300617,0.024393799,-0.001339473,-0.064468916,-0.027509926,-0.037423714,-0.027699732,-0.065589189,-0.023100458,-0.00513032,-0.061063071
31.03.03,-0.005205548,-0.002476211,-0.001468053,0.008014751,0.009974965,-0.004714041,-0.003491887,-0.029502915,0.001796967,-0.045914326,0.009320186,0.000561927,-0.040994772
30.04.03,-0.002986811,0.001799859,0.004585451,0.052155045,0.054128028,0.113709056,0.087510016,0.08746621,0.100440944,0.086546024,0.077630837,0.002575212,0.011620291
31.05.03,0.017298619,0.01733245,0.015639246,0.038943574,-0.013706089,0.018512152,0.016515096,0.027461242,0.061672141,0.075889336,0.032763008,-0.034902223,0.030369708
30.06.03,-0.004829939,-0.006464241,-0.004310275,-0.00019836,0.036786559,0.03849696,0.056340725,0.094919357,0.070446716,0.0921594,0.062164758,0.043291645,-0.01172417
31.07.03,-0.006091055,-0.019190157,-0.021888739,-0.03206206,-0.004361108,0.051704629,0.033094096,0.073811858,0.051990178,0.0527895,0.004679865,0.028017806,0.04040773
31.08.03,-0.005547061,-0.00502278,-0.001237318,0.020314189,0.018635437,0.01439898,0.044680663,0.088532688,0.083047416,0.060850583,0.018649175,0.036801479,0.077170855
30.09.03,0.008844129,0.013102635,0.01589933,0.033341021,-0.023311211,-0.019899363,-0.055806534,-0.055232242,-0.042683368,-0.00074929,-0.011331661,-0.056994942,-0.031805936
31.10.03,-0.003049411,-0.011488721,-0.010345104,0.002063903,0.006882558,0.037165083,0.072191087,0.096871926,0.098583367,0.076103193,0.047613543,0.03791684,0.004245383
30.11.03,-0.002727613,0.000459982,0.000682844,0.009303019,-0.02496085,0.01677092,-0.019299623,-0.022978843,-0.016719559,-0.019438099,-0.009621594,-0.051105755,0.002465451
31.12.03,0.011111683,0.007590136,0.008436277,0.027066317,-0.008460888,0.036517542,0.023707634,0.030217218,0.003119597,0.019149213,0.030067264,-0.042135371,0.002803635
31.01.04,0.00465478,0.004733059,0.0051768,0.005095337,0.010626794,0.039142249,0.029277886,0.048253224,0.05493865,0.078185728,0.026657497,0.044505894,-0.020584616
29.02.04,0.009809962,0.009329023,0.009333767,0.004913638,0.025337999,0.010175496,0.020544348,0.048744897,0.024068287,0.035121336,0.038242002,-0.005994689,-0.006876451
31.03.04,0.003623922,0.003240182,0.004320382,0.025038934,0.022401744,-0.021929357,-0.003083815,0.015928175,0.031118959,0.015986257,0.010516442,0.003579277,0.071548963
30.04.04,-0.00880067,-0.013991217,-0.016585573,-0.050280257,-0.011300832,0.039958692,0.003735881,-0.061900626,-0.021827735,-0.04844495,-0.026286567,0.016028748,-0.064581301
31.05.04,-0.004144494,-0.002620736,-0.003300523,-0.017428715,-0.0325251,-0.02547574,-0.023694517,-0.053673641,-0.028941505,-0.040214578,-0.012749395,-0.014202601,-0.018360772
30.06.04,-0.005716635,-0.00082793,0.001029242,0.012787417,0.009119241,-0.000332014,0.02004108,0.003839716,0.042946513,0.028814058,0.024271738,8.76E-05,-0.004138271
31.07.04,0.007912918,0.004433382,0.006149979,0.028712213,0.037446467,-0.01161897,-0.009212118,0.005109199,-0.028574826,-0.010198546,0.035406097,0.047406972,0.013258148
31.08.04,0.01123108,0.014324068,0.014822036,0.037120744,-0.00326963,-0.02570077,-0.008810151,0.027348704,-0.014841318,0.002211623,0.012959004,-0.043291642,0.035106701
30.09.04,0.003529038,0.003753643,0.003179058,0.014660916,0.012951947,0.009677825,0.004053773,0.040858647,0.0214148,-0.002848432,0.021307832,0.009840613,0.005003662
31.10.04,0.010354533,0.005444892,0.006150423,0.014387524,-0.006105543,-0.021368927,-0.014556979,-0.016278532,-0.007350168,-0.013135886,-0.006338613,-0.052653538,-0.018795876
30.11.04,0.008599998,0.003079142,0.00100561,0.005729691,0.006456945,0.021638766,0.004848369,0.039275121,0.028700412,0.035097717,0.02182169,-0.02492635,0.004505126
31.12.04,-0.000157134,0.005486886,0.005701712,0.021886856,0.053758944,0.045510958,0.038600312,0.047895724,0.041256574,0.059421874,0.036435473,0.011739526,-0.02748081
31.01.05,0.010706991,0.00790375,0.006315389,0.005055063,0.038086034,0.009127543,0.018875895,0.04370853,0.028346512,0.042716042,0.068832605,0.038756699,0.002035135
28.02.05,-0.004362737,-0.006319954,-0.005587654,0.005049209,0.015848013,0.031667188,0.009022632,0.060827327,0.009358594,0.007875131,-0.003153655,-0.022021711,0.010484383
31.03.05,0.005372799,0.003444997,-0.000136008,-0.025246987,-0.008666447,0.005884571,0.011443797,-0.038100758,0.007826995,0.012291932,0.003405188,0.039641806,0.012092187
