date,avgSentimentClass,avgSentimentPositive,avgSentimentNegative,avgSentimentNeutral,numberOfEntries
2003-12-08,0.069247159,0.385048743,0.324529521,0.290421733,5632
2003-12-09,0.028981086,0.379976146,0.341084443,0.278939412,6556
2003-12-10,-0.006570513,0.366444637,0.343533254,0.290022118,6240
2003-12-11,0.018518519,0.36093345,0.327135134,0.311931412,7236
2003-12-12,0.022897898,0.370599981,0.341733762,0.287666274,5328
2003-12-15,0.02334173,0.380322029,0.342745571,0.276932396,5955
2003-12-16,0.037994155,0.380341897,0.330951954,0.288706148,6501
2003-12-17,-0.003209046,0.367996067,0.352845307,0.279158628,6544
2003-12-18,0.056626506,0.382819216,0.32585797,0.291322807,6640
2003-12-19,0.037542058,0.373513557,0.331808552,0.29467788,5647
2003-12-22,0.00998681,0.367493026,0.347449606,0.285057361,5307
2003-12-23,-0.03876949,0.350931464,0.363888609,0.285179929,4746
2003-12-24,-0.210051546,0.306550565,0.42210431,0.271345125,3104
2003-12-25,-0.462932455,0.240236217,0.507418273,0.25234552,607
2003-12-26,-0.281081081,0.283932864,0.453295477,0.262771685,1110
2003-12-29,-0.048292515,0.353841847,0.366709268,0.279448887,2899
2003-12-30,-0.04576523,0.355673056,0.363060317,0.281266642,3365
2003-12-31,-0.061192262,0.339629046,0.369570619,0.290800339,2533
2004-01-01,-0.44549763,0.279433372,0.475595468,0.244971165,422
2004-01-02,0.010207802,0.358212042,0.340449291,0.301338664,2743
2004-01-05,0.074967686,0.386591276,0.318766339,0.294642389,4642
2004-01-06,-0.040380952,0.362835155,0.367329439,0.269835407,5250
2004-01-07,-0.014217226,0.368342978,0.356382505,0.27527452,6049
2004-01-08,0.037031048,0.374567106,0.341712741,0.283720159,6184
2004-01-09,-0.040555556,0.360730919,0.368264616,0.271004467,5400
2004-01-12,-0.143184422,0.325669769,0.381901158,0.292429089,873
2004-01-13,-0.051966292,0.355823896,0.364471506,0.27970462,712
2004-01-14,-0.020833333,0.361441238,0.355749456,0.282809309,6336
2004-01-15,0.00647482,0.367642611,0.345906228,0.286451168,6950
2004-01-16,-0.022070145,0.366238652,0.363100799,0.270660554,5845
2004-01-19,0.090673014,0.394204227,0.327707931,0.278087843,4621
2004-01-20,0.026223264,0.380465573,0.346660853,0.272873571,6826
2004-01-21,0.047499608,0.386403426,0.331606002,0.281990581,6379
2004-01-22,-0.003335751,0.365378139,0.347882266,0.286739596,6895
2004-01-23,-0.026397516,0.364438306,0.360459944,0.275101752,5796
2004-01-26,0.017472644,0.379816228,0.353824135,0.266359635,5666
2004-01-27,0.018288903,0.382312919,0.343781711,0.273905361,6452
2004-01-28,-0.043284621,0.363659045,0.36487378,0.271467181,7185
2004-01-29,-0.02881763,0.364300272,0.355311012,0.280388724,7079
2004-01-30,0.012698981,0.37306999,0.346497341,0.280432681,5591
2004-02-02,0.046302817,0.382443236,0.333442208,0.284114562,5680
2004-02-03,0.000303352,0.372740092,0.335989522,0.291270399,6593
2004-02-04,0.051160024,0.382977681,0.334407909,0.28261441,6724
2004-02-05,0.026281719,0.375324506,0.335246126,0.289429377,7724
2004-02-06,0.032906131,0.377048716,0.339149003,0.283802279,5774
2004-02-09,0.0278267,0.374487488,0.337841369,0.287671154,5678
2004-02-10,0.081717056,0.396872692,0.324303677,0.278823625,7012
2004-02-11,0.084789092,0.391732879,0.322247554,0.286019577,7041
2004-02-12,0.083109233,0.393286139,0.31953859,0.287175279,7809
2004-02-13,0.033137729,0.37583151,0.338000147,0.286168331,5794
2004-02-16,0.098424347,0.398662428,0.30801271,0.293324866,4633
2004-02-17,0.087729876,0.395572424,0.322034807,0.282392774,6634
2004-02-18,0.08164794,0.406699672,0.326237549,0.26706278,6675
2004-02-19,0.087018342,0.396649951,0.322137845,0.281212207,7033
2004-02-20,-0.001894266,0.374372233,0.348923575,0.276704181,5807
2004-02-23,0.14772922,0.418851118,0.306273453,0.274875428,5835
2004-02-24,0.062985454,0.398494701,0.333628839,0.267876468,7081
2004-02-25,0.107992592,0.407223389,0.316155864,0.276620752,7019
2004-02-26,0.043523316,0.383341227,0.336242462,0.280416311,7720
2004-02-27,0.040311062,0.386990812,0.340137252,0.272871946,6301
2004-03-01,0.102391746,0.404001066,0.317929123,0.278069822,6397
2004-03-02,0.06522717,0.385791918,0.330829069,0.283379006,6669
2004-03-03,0.03220339,0.380818455,0.338702843,0.280478707,6490
2004-03-04,0.061798572,0.387394516,0.328343678,0.284261809,6861
2004-03-05,-0.038352273,0.353910172,0.355978576,0.290111265,5632
2004-03-08,0.123517787,0.407857877,0.309710175,0.282431952,6072
2004-03-09,0.047463937,0.382709237,0.335287759,0.282003009,6447
2004-03-10,-0.031227306,0.36599129,0.353623096,0.280385619,6885
2004-03-11,0.002403846,0.367327431,0.343188528,0.289484041,7072
2004-03-12,-0.001046755,0.371990483,0.352570264,0.275439264,5732
2004-03-15,0.058050032,0.392361648,0.328515194,0.279123144,6236
2004-03-16,0.067836812,0.391446565,0.327888991,0.280664455,6324
2004-03-17,0.061040264,0.387036856,0.327637909,0.285325238,6979
2004-03-18,-0.01162115,0.371222324,0.348827386,0.279950294,6884
2004-03-19,0.047593772,0.391348068,0.328044671,0.280607251,5652
2004-03-22,0.05963051,0.391266287,0.331201808,0.277531905,5467
2004-03-23,0.101866119,0.401614116,0.314576674,0.283809215,5841
2004-03-24,0.053132075,0.388467089,0.331259402,0.280273498,6625
2004-03-25,0.037860082,0.377432627,0.327371212,0.295196163,7290
2004-03-26,0.029086579,0.379309944,0.337854684,0.282835375,5879
2004-03-29,0.10280543,0.404235558,0.315493088,0.280271363,5525
2004-03-30,0.057695282,0.385530796,0.329164177,0.285305039,6465
2004-03-31,0.023911541,0.374330773,0.33472236,0.290946879,7235
2004-04-01,0.06974313,0.383221843,0.325818174,0.290959996,6696
2004-04-02,0.074236545,0.388127589,0.326324213,0.285548206,5927
2004-04-05,0.069012708,0.388441504,0.329563371,0.281995127,5115
2004-04-06,0.04614235,0.381847036,0.329958487,0.288194468,5353
2004-04-07,0.036866359,0.379753411,0.333704843,0.286541741,5859
2004-04-08,0.005178571,0.367762141,0.344936337,0.28730151,5600
2004-04-09,-0.194207836,0.313628619,0.419024699,0.26734671,1174
2004-04-12,-0.061281337,0.364124709,0.36432181,0.271553454,2154
2004-04-13,0.061800083,0.386978494,0.32913499,0.283886527,4822
2004-04-14,0.008501594,0.372859093,0.343533881,0.283607021,5646
2004-04-15,0.07107967,0.39169802,0.322424607,0.285877379,5937
2004-04-16,0.019307972,0.371622701,0.341733266,0.286644039,5231
2004-04-19,0.040252013,0.384630798,0.339491177,0.275878033,5714
2004-04-20,0.055809002,0.394259709,0.331825153,0.273915135,6576
2004-04-21,0.00629299,0.3751262,0.346244141,0.278629661,6833
2004-04-22,0.115746777,0.405957261,0.315722662,0.278320082,6903
2004-04-23,0.023202238,0.38183565,0.336010248,0.282154117,6077
2004-04-26,0.172479091,0.423110065,0.292087562,0.284802387,6337
2004-04-27,0.138697879,0.411941455,0.309726824,0.278331716,6835
2004-04-28,0.047272246,0.387610197,0.331268138,0.281121681,7552
2004-04-29,0.080005221,0.395849912,0.322488603,0.28166149,7662
2004-04-30,0.032520325,0.379633495,0.334293102,0.286073412,5904
2004-05-03,-0.016596483,0.371514287,0.358349972,0.270135755,4037
2004-05-04,0.12847008,0.408969497,0.312198375,0.278832123,6484
2004-05-05,0.103103103,0.399898882,0.313409708,0.286691407,6993
2004-05-06,0.070074746,0.389118222,0.322909768,0.287972009,7492
2004-05-07,-0.03790294,0.35296005,0.360821426,0.286218537,5646
2004-05-10,-0.12723449,0.352278669,0.40640191,0.241319422,3804
2004-05-11,0.060742071,0.395657802,0.330984285,0.273357932,6684
2004-05-12,0.052160749,0.383536712,0.326606266,0.289857014,7266
2004-05-13,0.064891172,0.389267207,0.325819333,0.284913472,7397
2004-05-14,-0.000325892,0.375821179,0.347192733,0.276986088,6137
2004-05-17,0.038687392,0.382586378,0.338547804,0.278865824,5790
2004-05-18,0.105014051,0.409855358,0.317791561,0.272353082,6761
2004-05-19,0.060170147,0.393716942,0.333455531,0.272827527,6465
2004-05-20,0.037688442,0.384700101,0.334248632,0.281051268,5572
2004-05-21,0.019638961,0.37517784,0.343090981,0.281731195,5041
2004-05-24,0.084036568,0.400838704,0.321947582,0.277213719,5688
2004-05-25,0.074391551,0.402265378,0.335419625,0.262315005,6533
2004-05-26,0.1048639,0.402828987,0.313122,0.284049018,6723
2004-05-27,0.069255288,0.387917776,0.32406435,0.288017868,6902
2004-05-28,0.037037037,0.384343806,0.336067843,0.279588369,5859
2004-05-31,-0.196448391,0.312230083,0.397962606,0.289807307,1802
2004-06-01,0.081268882,0.396848871,0.318244727,0.284906418,6620
2004-06-02,0.07683505,0.395757007,0.317974344,0.286268663,6117
2004-06-03,0.080814218,0.39668436,0.320690117,0.282625516,6583
2004-06-04,0.012960713,0.368962331,0.339411611,0.291626048,4938
2004-06-07,0.122490299,0.408821637,0.309692406,0.281485972,5927
2004-06-08,0.083886915,0.39861596,0.320172283,0.281211763,6473
2004-06-09,0.035361153,0.383970677,0.334815191,0.281214136,5967
2004-06-10,0.035408246,0.371651681,0.335855182,0.292493133,6185
2004-06-11,0.0090236,0.367320526,0.341542886,0.291136577,4322
2004-06-14,0.0029898,0.375866728,0.34712821,0.277005057,5686
2004-06-15,0.013059092,0.37298524,0.343493376,0.283521386,6126
2004-06-16,0.032024271,0.380845896,0.337814693,0.281339421,5933
2004-06-17,0.018667932,0.376152152,0.335917558,0.2879303,6321
2004-06-18,-0.026356291,0.362328065,0.359607808,0.278064143,5198
2004-06-21,0.006232104,0.372353362,0.345130016,0.282516621,5937
2004-06-22,0.037999671,0.384999912,0.33785723,0.277142872,6079
2004-06-23,0.057414105,0.390568513,0.330626078,0.278805409,6636
2004-06-24,0.010979609,0.372568068,0.339629984,0.287801952,7013
2004-06-25,-0.04263366,0.359829544,0.363665751,0.276504702,5817
2004-06-28,0.048229342,0.384335619,0.332082304,0.283582081,5930
2004-06-29,-0.004805526,0.375317607,0.345964881,0.278717506,6659
2004-06-30,0.051311127,0.382908643,0.332730941,0.284360415,7055
2004-07-01,0.043297252,0.378727672,0.327815389,0.293456937,7206
2004-07-02,-0.003625691,0.36900891,0.340953069,0.290038024,5792
2004-07-05,0.003757381,0.371434268,0.341132553,0.287433181,3726
2004-07-06,0.012069897,0.372998102,0.341063989,0.285937914,5551
2004-07-07,0.001445087,0.376392327,0.349277178,0.274330502,6228
2004-07-08,-0.019616788,0.370621118,0.352680472,0.276698413,6576
2004-07-09,-0.012218045,0.36344099,0.348676109,0.28788291,5320
